INDUSTRY,QUARTER,YEAR,CAUSE,VALUE_%
Metal products,2,2009,SKILLED_LABOUR_%,6.08
Metal products,3,2009,SKILLED_LABOUR_%,6.27
Metal products,4,2009,SKILLED_LABOUR_%,6.91
Metal products,1,2010,SKILLED_LABOUR_%,6.95
Metal products,2,2010,SKILLED_LABOUR_%,5.15
Metal products,3,2010,SKILLED_LABOUR_%,6.32
Metal products,4,2010,SKILLED_LABOUR_%,6.1
Metal products,1,2011,SKILLED_LABOUR_%,7.58
Metal products,2,2011,SKILLED_LABOUR_%,8.91
Metal products,3,2011,SKILLED_LABOUR_%,10.66
Metal products,4,2011,SKILLED_LABOUR_%,10.34
Metal products,1,2012,SKILLED_LABOUR_%,9.64
Metal products,2,2012,SKILLED_LABOUR_%,8.3
Metal products,3,2012,SKILLED_LABOUR_%,5.51
Metal products,4,2012,SKILLED_LABOUR_%,9.38
Metal products,1,2013,SKILLED_LABOUR_%,11.11
Metal products,2,2013,SKILLED_LABOUR_%,9.96
Metal products,3,2013,SKILLED_LABOUR_%,8.37
Metal products,4,2013,SKILLED_LABOUR_%,9.13
Metal products,1,2014,SKILLED_LABOUR_%,9.72
Metal products,2,2014,SKILLED_LABOUR_%,6.64
Metal products,3,2014,SKILLED_LABOUR_%,6.84
Metal products,4,2014,SKILLED_LABOUR_%,6.97
Metal products,1,2015,SKILLED_LABOUR_%,7.72
Metal products,2,2015,SKILLED_LABOUR_%,7.78
Metal products,3,2015,SKILLED_LABOUR_%,8.24
Metal products,4,2015,SKILLED_LABOUR_%,6.67
Metal products,1,2016,SKILLED_LABOUR_%,5.82
Metal products,2,2016,SKILLED_LABOUR_%,7.25
Metal products,3,2016,SKILLED_LABOUR_%,7.78
Metal products,4,2016,SKILLED_LABOUR_%,7.88
Metal products,1,2017,SKILLED_LABOUR_%,7.58
Metal products,2,2017,SKILLED_LABOUR_%,8.08
Metal products,3,2017,SKILLED_LABOUR_%,4.6
Metal products,4,2017,SKILLED_LABOUR_%,4.4
Metal products,1,2018,SKILLED_LABOUR_%,4.07
Metal products,2,2018,SKILLED_LABOUR_%,4.62
Metal products,3,2018,SKILLED_LABOUR_%,5.36
Metal products,4,2018,SKILLED_LABOUR_%,6.08
Metal products,1,2019,SKILLED_LABOUR_%,5.86
Metal products,2,2019,SKILLED_LABOUR_%,5.88
Metal products,3,2019,SKILLED_LABOUR_%,5.49
Metal products,4,2019,SKILLED_LABOUR_%,7.55
Metal products,1,2020,SKILLED_LABOUR_%,5.32
Metal products,2,2020,SKILLED_LABOUR_%,5.75
Metal products,3,2020,SKILLED_LABOUR_%,5.5
Metal products,4,2020,SKILLED_LABOUR_%,6.32
Metal products,1,2021,SKILLED_LABOUR_%,6.91
Metal products,2,2021,SKILLED_LABOUR_%,8.66
Metal products,3,2021,SKILLED_LABOUR_%,6.97
Metal products,4,2021,SKILLED_LABOUR_%,7.84
Machinery,4,2003,SKILLED_LABOUR_%,10.76
Machinery,1,2004,SKILLED_LABOUR_%,4.88
Machinery,2,2004,SKILLED_LABOUR_%,3.21
Machinery,3,2004,SKILLED_LABOUR_%,4.85
Machinery,4,2004,SKILLED_LABOUR_%,5.42
Machinery,1,2005,SKILLED_LABOUR_%,4.0
Machinery,2,2005,SKILLED_LABOUR_%,2.72
Machinery,3,2005,SKILLED_LABOUR_%,17.16
Machinery,4,2005,SKILLED_LABOUR_%,15.97
Machinery,1,2006,SKILLED_LABOUR_%,17.95
Machinery,2,2006,SKILLED_LABOUR_%,10.78
Machinery,3,2006,SKILLED_LABOUR_%,13.0
Machinery,4,2006,SKILLED_LABOUR_%,11.54
Machinery,1,2007,SKILLED_LABOUR_%,10.31
Machinery,2,2007,SKILLED_LABOUR_%,8.33
Machinery,3,2007,SKILLED_LABOUR_%,7.69
Machinery,4,2007,SKILLED_LABOUR_%,7.92
Machinery,1,2008,SKILLED_LABOUR_%,6.03
Machinery,2,2008,SKILLED_LABOUR_%,7.38
Machinery,3,2008,SKILLED_LABOUR_%,6.35
Machinery,4,2008,SKILLED_LABOUR_%,7.89
Machinery,1,2009,SKILLED_LABOUR_%,7.02
Machinery,2,2009,SKILLED_LABOUR_%,4.33
Machinery,3,2009,SKILLED_LABOUR_%,2.27
Machinery,4,2009,SKILLED_LABOUR_%,3.56
Machinery,1,2010,SKILLED_LABOUR_%,3.69
Machinery,2,2010,SKILLED_LABOUR_%,4.91
Machinery,3,2010,SKILLED_LABOUR_%,5.58
Machinery,4,2010,SKILLED_LABOUR_%,6.67
Machinery,1,2011,SKILLED_LABOUR_%,7.35
Machinery,2,2011,SKILLED_LABOUR_%,6.7
Machinery,3,2011,SKILLED_LABOUR_%,7.93
Machinery,4,2011,SKILLED_LABOUR_%,8.89
Machinery,1,2012,SKILLED_LABOUR_%,7.14
Machinery,2,2012,SKILLED_LABOUR_%,4.58
Machinery,3,2012,SKILLED_LABOUR_%,5.36
Machinery,4,2012,SKILLED_LABOUR_%,6.94
Machinery,1,2013,SKILLED_LABOUR_%,7.22
Machinery,2,2013,SKILLED_LABOUR_%,5.88
Machinery,3,2013,SKILLED_LABOUR_%,6.67
Machinery,4,2013,SKILLED_LABOUR_%,8.39
Machinery,1,2014,SKILLED_LABOUR_%,7.03
Machinery,2,2014,SKILLED_LABOUR_%,9.95
Machinery,3,2014,SKILLED_LABOUR_%,7.1
Machinery,4,2014,SKILLED_LABOUR_%,7.36
Machinery,1,2015,SKILLED_LABOUR_%,5.62
Machinery,2,2015,SKILLED_LABOUR_%,5.52
Machinery,3,2015,SKILLED_LABOUR_%,5.68
Machinery,4,2015,SKILLED_LABOUR_%,4.76
Machinery,1,2016,SKILLED_LABOUR_%,4.49
Machinery,2,2016,SKILLED_LABOUR_%,3.72
Machinery,3,2016,SKILLED_LABOUR_%,4.1
Machinery,4,2016,SKILLED_LABOUR_%,3.52
Machinery,1,2017,SKILLED_LABOUR_%,4.76
Machinery,2,2017,SKILLED_LABOUR_%,4.35
Machinery,3,2017,SKILLED_LABOUR_%,2.59
Machinery,4,2017,SKILLED_LABOUR_%,2.63
Machinery,1,2018,SKILLED_LABOUR_%,4.35
Machinery,2,2018,SKILLED_LABOUR_%,4.57
Machinery,3,2018,SKILLED_LABOUR_%,4.29
Machinery,4,2018,SKILLED_LABOUR_%,3.33
Machinery,1,2019,SKILLED_LABOUR_%,3.33
Machinery,2,2019,SKILLED_LABOUR_%,4.66
Machinery,3,2019,SKILLED_LABOUR_%,3.17
Machinery,4,2019,SKILLED_LABOUR_%,4.02
Machinery,1,2020,SKILLED_LABOUR_%,4.13
Machinery,2,2020,SKILLED_LABOUR_%,1.87
Machinery,3,2020,SKILLED_LABOUR_%,7.92
Machinery,4,2020,SKILLED_LABOUR_%,1.97
Machinery,1,2021,SKILLED_LABOUR_%,2.26
Machinery,2,2021,SKILLED_LABOUR_%,3.01
Machinery,3,2021,SKILLED_LABOUR_%,1.85
Machinery,4,2021,SKILLED_LABOUR_%,4.39
"Radio, television and communication apparatus",4,2003,SKILLED_LABOUR_%,6.32
"Radio, television and communication apparatus",1,2004,SKILLED_LABOUR_%,7.88
"Radio, television and communication apparatus",2,2004,SKILLED_LABOUR_%,0.0
"Radio, television and communication apparatus",3,2004,SKILLED_LABOUR_%,3.08
"Radio, television and communication apparatus",4,2004,SKILLED_LABOUR_%,0.85
"Radio, television and communication apparatus",1,2005,SKILLED_LABOUR_%,3.36
"Radio, television and communication apparatus",2,2005,SKILLED_LABOUR_%,4.26
"Radio, television and communication apparatus",3,2005,SKILLED_LABOUR_%,6.2
"Radio, television and communication apparatus",4,2005,SKILLED_LABOUR_%,3.85
"Radio, television and communication apparatus",1,2006,SKILLED_LABOUR_%,1.83
"Radio, television and communication apparatus",2,2006,SKILLED_LABOUR_%,4.04
"Radio, television and communication apparatus",3,2006,SKILLED_LABOUR_%,7.61
"Radio, television and communication apparatus",4,2006,SKILLED_LABOUR_%,16.83
"Radio, television and communication apparatus",1,2007,SKILLED_LABOUR_%,5.07
"Radio, television and communication apparatus",2,2007,SKILLED_LABOUR_%,7.63
"Radio, television and communication apparatus",3,2007,SKILLED_LABOUR_%,2.7
"Radio, television and communication apparatus",4,2007,SKILLED_LABOUR_%,0.0
"Radio, television and communication apparatus",1,2008,SKILLED_LABOUR_%,4.39
"Radio, television and communication apparatus",2,2008,SKILLED_LABOUR_%,5.56
"Radio, television and communication apparatus",3,2008,SKILLED_LABOUR_%,8.77
"Radio, television and communication apparatus",4,2008,SKILLED_LABOUR_%,0.0
"Radio, television and communication apparatus",1,2009,SKILLED_LABOUR_%,10.57
"Radio, television and communication apparatus",2,2009,SKILLED_LABOUR_%,12.4
"Radio, television and communication apparatus",3,2009,SKILLED_LABOUR_%,7.14
"Radio, television and communication apparatus",4,2009,SKILLED_LABOUR_%,5.63
"Radio, television and communication apparatus",1,2010,SKILLED_LABOUR_%,1.15
"Radio, television and communication apparatus",2,2010,SKILLED_LABOUR_%,1.73
"Radio, television and communication apparatus",3,2010,SKILLED_LABOUR_%,1.62
"Radio, television and communication apparatus",4,2010,SKILLED_LABOUR_%,1.4
"Radio, television and communication apparatus",1,2011,SKILLED_LABOUR_%,1.27
"Radio, television and communication apparatus",2,2011,SKILLED_LABOUR_%,1.85
"Radio, television and communication apparatus",3,2011,SKILLED_LABOUR_%,2.34
"Radio, television and communication apparatus",4,2011,SKILLED_LABOUR_%,4.61
"Radio, television and communication apparatus",1,2012,SKILLED_LABOUR_%,1.95
"Radio, television and communication apparatus",2,2012,SKILLED_LABOUR_%,2.64
"Radio, television and communication apparatus",3,2012,SKILLED_LABOUR_%,1.99
"Radio, television and communication apparatus",4,2012,SKILLED_LABOUR_%,5.04
"Radio, television and communication apparatus",1,2013,SKILLED_LABOUR_%,4.08
"Radio, television and communication apparatus",2,2013,SKILLED_LABOUR_%,2.64
"Radio, television and communication apparatus",3,2013,SKILLED_LABOUR_%,2.07
"Radio, television and communication apparatus",4,2013,SKILLED_LABOUR_%,2.94
"Radio, television and communication apparatus",1,2014,SKILLED_LABOUR_%,7.14
"Radio, television and communication apparatus",2,2014,SKILLED_LABOUR_%,7.38
"Radio, television and communication apparatus",3,2014,SKILLED_LABOUR_%,9.48
"Radio, television and communication apparatus",4,2014,SKILLED_LABOUR_%,10.38
"Radio, television and communication apparatus",1,2015,SKILLED_LABOUR_%,7.56
"Radio, television and communication apparatus",2,2015,SKILLED_LABOUR_%,9.23
"Radio, television and communication apparatus",3,2015,SKILLED_LABOUR_%,0.0
"Radio, television and communication apparatus",4,2015,SKILLED_LABOUR_%,0.0
"Radio, television and communication apparatus",1,2016,SKILLED_LABOUR_%,0.0
"Radio, television and communication apparatus",2,2016,SKILLED_LABOUR_%,0.0
"Radio, television and communication apparatus",3,2016,SKILLED_LABOUR_%,0.0
"Radio, television and communication apparatus",4,2016,SKILLED_LABOUR_%,0.0
"Radio, television and communication apparatus",1,2017,SKILLED_LABOUR_%,0.0
"Radio, television and communication apparatus",2,2017,SKILLED_LABOUR_%,0.0
"Radio, television and communication apparatus",3,2017,SKILLED_LABOUR_%,0.0
"Radio, television and communication apparatus",4,2017,SKILLED_LABOUR_%,0.0
"Radio, television and communication apparatus",1,2018,SKILLED_LABOUR_%,0.0
"Radio, television and communication apparatus",2,2018,SKILLED_LABOUR_%,0.0
"Radio, television and communication apparatus",3,2018,SKILLED_LABOUR_%,0.0
"Radio, television and communication apparatus",4,2018,SKILLED_LABOUR_%,0.0
"Radio, television and communication apparatus",1,2019,SKILLED_LABOUR_%,0.0
"Radio, television and communication apparatus",2,2019,SKILLED_LABOUR_%,0.0
"Radio, television and communication apparatus",3,2019,SKILLED_LABOUR_%,0.0
"Radio, television and communication apparatus",4,2019,SKILLED_LABOUR_%,0.0
"Radio, television and communication apparatus",1,2020,SKILLED_LABOUR_%,0.0
"Radio, television and communication apparatus",2,2020,SKILLED_LABOUR_%,0.0
"Radio, television and communication apparatus",3,2020,SKILLED_LABOUR_%,0.0
"Radio, television and communication apparatus",4,2020,SKILLED_LABOUR_%,6.67
"Radio, television and communication apparatus",1,2021,SKILLED_LABOUR_%,0.0
"Radio, television and communication apparatus",2,2021,SKILLED_LABOUR_%,0.0
"Radio, television and communication apparatus",3,2021,SKILLED_LABOUR_%,0.0
"Radio, television and communication apparatus",4,2021,SKILLED_LABOUR_%,0.0
Professional equipment,4,2003,SKILLED_LABOUR_%,0.0
Professional equipment,1,2004,SKILLED_LABOUR_%,0.0
Professional equipment,2,2004,SKILLED_LABOUR_%,0.0
Professional equipment,3,2004,SKILLED_LABOUR_%,0.0
Professional equipment,4,2004,SKILLED_LABOUR_%,0.0
Professional equipment,1,2005,SKILLED_LABOUR_%,9.66
Professional equipment,2,2005,SKILLED_LABOUR_%,6.43
Professional equipment,3,2005,SKILLED_LABOUR_%,0.0
Professional equipment,4,2005,SKILLED_LABOUR_%,5.69
Professional equipment,1,2006,SKILLED_LABOUR_%,2.82
Professional equipment,2,2006,SKILLED_LABOUR_%,15.17
Professional equipment,3,2006,SKILLED_LABOUR_%,0.0
Professional equipment,4,2006,SKILLED_LABOUR_%,0.0
Professional equipment,1,2007,SKILLED_LABOUR_%,0.0
Professional equipment,2,2007,SKILLED_LABOUR_%,2.83
Professional equipment,3,2007,SKILLED_LABOUR_%,0.88
Professional equipment,4,2007,SKILLED_LABOUR_%,0.0
Professional equipment,1,2008,SKILLED_LABOUR_%,0.85
Professional equipment,2,2008,SKILLED_LABOUR_%,2.68
Professional equipment,3,2008,SKILLED_LABOUR_%,3.15
Professional equipment,4,2008,SKILLED_LABOUR_%,13.77
Professional equipment,1,2009,SKILLED_LABOUR_%,12.31
Professional equipment,2,2009,SKILLED_LABOUR_%,8.33
Professional equipment,3,2009,SKILLED_LABOUR_%,6.06
Professional equipment,4,2009,SKILLED_LABOUR_%,2.24
Professional equipment,1,2010,SKILLED_LABOUR_%,1.26
Professional equipment,2,2010,SKILLED_LABOUR_%,2.14
Professional equipment,3,2010,SKILLED_LABOUR_%,0.0
Professional equipment,4,2010,SKILLED_LABOUR_%,3.7
Professional equipment,1,2011,SKILLED_LABOUR_%,1.79
Professional equipment,2,2011,SKILLED_LABOUR_%,1.97
Professional equipment,3,2011,SKILLED_LABOUR_%,2.8
Professional equipment,4,2011,SKILLED_LABOUR_%,0.0
Professional equipment,1,2012,SKILLED_LABOUR_%,5.93
Professional equipment,2,2012,SKILLED_LABOUR_%,0.87
Professional equipment,3,2012,SKILLED_LABOUR_%,0.0
Professional equipment,4,2012,SKILLED_LABOUR_%,0.0
Professional equipment,1,2013,SKILLED_LABOUR_%,0.0
Professional equipment,2,2013,SKILLED_LABOUR_%,0.0
Professional equipment,3,2013,SKILLED_LABOUR_%,0.0
Professional equipment,4,2013,SKILLED_LABOUR_%,0.0
Professional equipment,1,2014,SKILLED_LABOUR_%,0.0
Professional equipment,2,2014,SKILLED_LABOUR_%,0.0
Professional equipment,3,2014,SKILLED_LABOUR_%,0.0
Professional equipment,4,2014,SKILLED_LABOUR_%,0.0
Professional equipment,1,2015,SKILLED_LABOUR_%,0.0
Professional equipment,2,2015,SKILLED_LABOUR_%,0.0
Professional equipment,3,2015,SKILLED_LABOUR_%,0.0
Professional equipment,4,2015,SKILLED_LABOUR_%,0.0
Professional equipment,1,2016,SKILLED_LABOUR_%,0.0
Professional equipment,2,2016,SKILLED_LABOUR_%,0.0
Professional equipment,3,2016,SKILLED_LABOUR_%,0.0
Professional equipment,4,2016,SKILLED_LABOUR_%,0.0
Professional equipment,1,2017,SKILLED_LABOUR_%,0.0
Professional equipment,2,2017,SKILLED_LABOUR_%,0.0
Professional equipment,3,2017,SKILLED_LABOUR_%,0.0
Professional equipment,4,2017,SKILLED_LABOUR_%,0.0
Professional equipment,1,2018,SKILLED_LABOUR_%,0.0
Professional equipment,2,2018,SKILLED_LABOUR_%,0.0
Professional equipment,3,2018,SKILLED_LABOUR_%,0.0
Professional equipment,4,2018,SKILLED_LABOUR_%,0.0
Professional equipment,1,2019,SKILLED_LABOUR_%,0.0
Professional equipment,2,2019,SKILLED_LABOUR_%,0.0
Professional equipment,3,2019,SKILLED_LABOUR_%,0.0
Professional equipment,4,2019,SKILLED_LABOUR_%,0.0
Professional equipment,1,2020,SKILLED_LABOUR_%,0.0
Professional equipment,2,2020,SKILLED_LABOUR_%,0.0
Professional equipment,3,2020,SKILLED_LABOUR_%,0.0
Professional equipment,4,2020,SKILLED_LABOUR_%,0.0
Professional equipment,1,2021,SKILLED_LABOUR_%,0.0
Professional equipment,2,2021,SKILLED_LABOUR_%,0.0
Professional equipment,3,2021,SKILLED_LABOUR_%,0.0
Professional equipment,4,2021,SKILLED_LABOUR_%,0.0
"Motor vehicles, parts and accessories",4,2003,SKILLED_LABOUR_%,4.89
"Motor vehicles, parts and accessories",1,2004,SKILLED_LABOUR_%,3.05
"Motor vehicles, parts and accessories",2,2004,SKILLED_LABOUR_%,1.74
"Motor vehicles, parts and accessories",3,2004,SKILLED_LABOUR_%,2.53
"Motor vehicles, parts and accessories",4,2004,SKILLED_LABOUR_%,1.45
"Motor vehicles, parts and accessories",1,2005,SKILLED_LABOUR_%,1.79
"Motor vehicles, parts and accessories",2,2005,SKILLED_LABOUR_%,2.01
"Motor vehicles, parts and accessories",3,2005,SKILLED_LABOUR_%,2.31
"Motor vehicles, parts and accessories",4,2005,SKILLED_LABOUR_%,2.7
"Motor vehicles, parts and accessories",1,2006,SKILLED_LABOUR_%,3.48
"Motor vehicles, parts and accessories",2,2006,SKILLED_LABOUR_%,6.19
"Motor vehicles, parts and accessories",3,2006,SKILLED_LABOUR_%,9.65
"Motor vehicles, parts and accessories",4,2006,SKILLED_LABOUR_%,6.74
"Motor vehicles, parts and accessories",1,2007,SKILLED_LABOUR_%,6.45
"Motor vehicles, parts and accessories",2,2007,SKILLED_LABOUR_%,6.48
"Motor vehicles, parts and accessories",3,2007,SKILLED_LABOUR_%,10.26
"Motor vehicles, parts and accessories",4,2007,SKILLED_LABOUR_%,6.5
"Motor vehicles, parts and accessories",1,2008,SKILLED_LABOUR_%,5.97
"Motor vehicles, parts and accessories",2,2008,SKILLED_LABOUR_%,4.19
"Motor vehicles, parts and accessories",3,2008,SKILLED_LABOUR_%,5.33
"Motor vehicles, parts and accessories",4,2008,SKILLED_LABOUR_%,3.9
"Motor vehicles, parts and accessories",1,2009,SKILLED_LABOUR_%,2.64
"Motor vehicles, parts and accessories",2,2009,SKILLED_LABOUR_%,2.56
"Motor vehicles, parts and accessories",3,2009,SKILLED_LABOUR_%,3.9
"Motor vehicles, parts and accessories",4,2009,SKILLED_LABOUR_%,8.06
"Motor vehicles, parts and accessories",1,2010,SKILLED_LABOUR_%,4.94
"Motor vehicles, parts and accessories",2,2010,SKILLED_LABOUR_%,4.5
"Motor vehicles, parts and accessories",3,2010,SKILLED_LABOUR_%,2.13
"Motor vehicles, parts and accessories",4,2010,SKILLED_LABOUR_%,2.68
"Motor vehicles, parts and accessories",1,2011,SKILLED_LABOUR_%,2.15
"Motor vehicles, parts and accessories",2,2011,SKILLED_LABOUR_%,3.08
"Motor vehicles, parts and accessories",3,2011,SKILLED_LABOUR_%,2.79
"Motor vehicles, parts and accessories",4,2011,SKILLED_LABOUR_%,3.06
"Motor vehicles, parts and accessories",1,2012,SKILLED_LABOUR_%,3.16
"Motor vehicles, parts and accessories",2,2012,SKILLED_LABOUR_%,4.08
"Motor vehicles, parts and accessories",3,2012,SKILLED_LABOUR_%,2.68
"Motor vehicles, parts and accessories",4,2012,SKILLED_LABOUR_%,3.55
"Motor vehicles, parts and accessories",1,2013,SKILLED_LABOUR_%,3.39
"Motor vehicles, parts and accessories",2,2013,SKILLED_LABOUR_%,1.99
"Motor vehicles, parts and accessories",3,2013,SKILLED_LABOUR_%,1.43
"Motor vehicles, parts and accessories",4,2013,SKILLED_LABOUR_%,2.16
"Motor vehicles, parts and accessories",1,2014,SKILLED_LABOUR_%,1.93
"Motor vehicles, parts and accessories",2,2014,SKILLED_LABOUR_%,3.5
"Motor vehicles, parts and accessories",3,2014,SKILLED_LABOUR_%,3.21
"Motor vehicles, parts and accessories",4,2014,SKILLED_LABOUR_%,4.38
"Motor vehicles, parts and accessories",1,2015,SKILLED_LABOUR_%,2.99
"Motor vehicles, parts and accessories",2,2015,SKILLED_LABOUR_%,5.36
"Motor vehicles, parts and accessories",3,2015,SKILLED_LABOUR_%,5.18
"Motor vehicles, parts and accessories",4,2015,SKILLED_LABOUR_%,2.48
"Motor vehicles, parts and accessories",1,2016,SKILLED_LABOUR_%,2.21
"Motor vehicles, parts and accessories",2,2016,SKILLED_LABOUR_%,2.19
"Motor vehicles, parts and accessories",3,2016,SKILLED_LABOUR_%,3.07
"Motor vehicles, parts and accessories",4,2016,SKILLED_LABOUR_%,2.38
"Motor vehicles, parts and accessories",1,2017,SKILLED_LABOUR_%,2.17
"Motor vehicles, parts and accessories",2,2017,SKILLED_LABOUR_%,2.25
"Motor vehicles, parts and accessories",3,2017,SKILLED_LABOUR_%,1.95
"Motor vehicles, parts and accessories",4,2017,SKILLED_LABOUR_%,1.81
"Motor vehicles, parts and accessories",1,2018,SKILLED_LABOUR_%,2.34
"Motor vehicles, parts and accessories",2,2018,SKILLED_LABOUR_%,1.86
"Motor vehicles, parts and accessories",3,2018,SKILLED_LABOUR_%,1.91
"Motor vehicles, parts and accessories",4,2018,SKILLED_LABOUR_%,1.39
"Motor vehicles, parts and accessories",1,2019,SKILLED_LABOUR_%,1.24
"Motor vehicles, parts and accessories",2,2019,SKILLED_LABOUR_%,1.32
"Motor vehicles, parts and accessories",3,2019,SKILLED_LABOUR_%,1.3
"Motor vehicles, parts and accessories",4,2019,SKILLED_LABOUR_%,1.11
"Motor vehicles, parts and accessories",1,2020,SKILLED_LABOUR_%,1.12
"Motor vehicles, parts and accessories",2,2020,SKILLED_LABOUR_%,0.95
"Motor vehicles, parts and accessories",3,2020,SKILLED_LABOUR_%,2.24
"Motor vehicles, parts and accessories",4,2020,SKILLED_LABOUR_%,3.11
"Motor vehicles, parts and accessories",1,2021,SKILLED_LABOUR_%,2.78
"Motor vehicles, parts and accessories",2,2021,SKILLED_LABOUR_%,1.12
"Motor vehicles, parts and accessories",3,2021,SKILLED_LABOUR_%,0.75
"Motor vehicles, parts and accessories",4,2021,SKILLED_LABOUR_%,1.2
Other transport equipment,4,2003,SKILLED_LABOUR_%,0.81
Other transport equipment,1,2004,SKILLED_LABOUR_%,9.0
Other transport equipment,2,2004,SKILLED_LABOUR_%,3.83
Other transport equipment,3,2004,SKILLED_LABOUR_%,5.9
Other transport equipment,4,2004,SKILLED_LABOUR_%,7.29
Other transport equipment,1,2005,SKILLED_LABOUR_%,10.87
Other transport equipment,2,2005,SKILLED_LABOUR_%,10.67
Other transport equipment,3,2005,SKILLED_LABOUR_%,12.46
Other transport equipment,4,2005,SKILLED_LABOUR_%,10.67
Other transport equipment,1,2006,SKILLED_LABOUR_%,12.89
Other transport equipment,2,2006,SKILLED_LABOUR_%,0.0
Other transport equipment,3,2006,SKILLED_LABOUR_%,12.76
Other transport equipment,4,2006,SKILLED_LABOUR_%,31.88
Other transport equipment,1,2007,SKILLED_LABOUR_%,35.07
Other transport equipment,2,2007,SKILLED_LABOUR_%,11.76
Other transport equipment,3,2007,SKILLED_LABOUR_%,13.75
Other transport equipment,4,2007,SKILLED_LABOUR_%,40.29
Other transport equipment,1,2008,SKILLED_LABOUR_%,41.13
Other transport equipment,2,2008,SKILLED_LABOUR_%,41.67
Other transport equipment,3,2008,SKILLED_LABOUR_%,41.97
Other transport equipment,4,2008,SKILLED_LABOUR_%,24.53
Other transport equipment,1,2009,SKILLED_LABOUR_%,24.14
Other transport equipment,2,2009,SKILLED_LABOUR_%,45.81
Other transport equipment,3,2009,SKILLED_LABOUR_%,40.37
Other transport equipment,4,2009,SKILLED_LABOUR_%,27.9
Other transport equipment,1,2010,SKILLED_LABOUR_%,32.42
Other transport equipment,2,2010,SKILLED_LABOUR_%,34.56
Other transport equipment,3,2010,SKILLED_LABOUR_%,35.89
Other transport equipment,4,2010,SKILLED_LABOUR_%,44.2
Other transport equipment,1,2011,SKILLED_LABOUR_%,31.7
Other transport equipment,2,2011,SKILLED_LABOUR_%,33.33
Other transport equipment,3,2011,SKILLED_LABOUR_%,31.02
Other transport equipment,4,2011,SKILLED_LABOUR_%,30.67
Other transport equipment,1,2012,SKILLED_LABOUR_%,30.27
Other transport equipment,2,2012,SKILLED_LABOUR_%,31.4
Other transport equipment,3,2012,SKILLED_LABOUR_%,30.41
Other transport equipment,4,2012,SKILLED_LABOUR_%,32.82
Other transport equipment,1,2013,SKILLED_LABOUR_%,30.3
Other transport equipment,2,2013,SKILLED_LABOUR_%,28.99
Other transport equipment,3,2013,SKILLED_LABOUR_%,29.84
Other transport equipment,4,2013,SKILLED_LABOUR_%,28.65
Other transport equipment,1,2014,SKILLED_LABOUR_%,26.05
Other transport equipment,2,2014,SKILLED_LABOUR_%,20.0
Other transport equipment,3,2014,SKILLED_LABOUR_%,23.42
Other transport equipment,4,2014,SKILLED_LABOUR_%,22.91
Other transport equipment,1,2015,SKILLED_LABOUR_%,17.41
Other transport equipment,2,2015,SKILLED_LABOUR_%,10.82
Other transport equipment,3,2015,SKILLED_LABOUR_%,11.15
Other transport equipment,4,2015,SKILLED_LABOUR_%,13.65
Other transport equipment,1,2016,SKILLED_LABOUR_%,17.41
Other transport equipment,2,2016,SKILLED_LABOUR_%,13.73
Other transport equipment,3,2016,SKILLED_LABOUR_%,12.63
Other transport equipment,4,2016,SKILLED_LABOUR_%,10.97
Other transport equipment,1,2017,SKILLED_LABOUR_%,13.51
Other transport equipment,2,2017,SKILLED_LABOUR_%,15.99
Other transport equipment,3,2017,SKILLED_LABOUR_%,14.23
Other transport equipment,4,2017,SKILLED_LABOUR_%,14.81
Other transport equipment,1,2018,SKILLED_LABOUR_%,16.12
Other transport equipment,2,2018,SKILLED_LABOUR_%,15.96
Other transport equipment,3,2018,SKILLED_LABOUR_%,14.33
Other transport equipment,4,2018,SKILLED_LABOUR_%,11.32
Other transport equipment,1,2019,SKILLED_LABOUR_%,12.94
Other transport equipment,2,2019,SKILLED_LABOUR_%,12.04
Other transport equipment,3,2019,SKILLED_LABOUR_%,12.66
Other transport equipment,4,2019,SKILLED_LABOUR_%,12.23
Other transport equipment,1,2020,SKILLED_LABOUR_%,12.14
Other transport equipment,2,2020,SKILLED_LABOUR_%,0.0
Other transport equipment,3,2020,SKILLED_LABOUR_%,0.71
Other transport equipment,4,2020,SKILLED_LABOUR_%,1.09
Other transport equipment,1,2021,SKILLED_LABOUR_%,0.51
Other transport equipment,2,2021,SKILLED_LABOUR_%,0.51
Other transport equipment,3,2021,SKILLED_LABOUR_%,0.52
Other transport equipment,4,2021,SKILLED_LABOUR_%,0.58
"Motor vehicles, trailers and parts and accessories",4,2003,SKILLED_LABOUR_%,4.39
"Motor vehicles, trailers and parts and accessories",1,2004,SKILLED_LABOUR_%,3.55
"Motor vehicles, trailers and parts and accessories",2,2004,SKILLED_LABOUR_%,2.16
"Motor vehicles, trailers and parts and accessories",3,2004,SKILLED_LABOUR_%,2.92
"Motor vehicles, trailers and parts and accessories",4,2004,SKILLED_LABOUR_%,2.63
"Motor vehicles, trailers and parts and accessories",1,2005,SKILLED_LABOUR_%,2.67
"Motor vehicles, trailers and parts and accessories",2,2005,SKILLED_LABOUR_%,3.23
"Motor vehicles, trailers and parts and accessories",3,2005,SKILLED_LABOUR_%,4.14
"Motor vehicles, trailers and parts and accessories",4,2005,SKILLED_LABOUR_%,4.72
"Motor vehicles, trailers and parts and accessories",1,2006,SKILLED_LABOUR_%,5.56
"Motor vehicles, trailers and parts and accessories",2,2006,SKILLED_LABOUR_%,4.72
